source,text,date
play_store,satisfied every products i ordered.,2026-08-29
play_store,very good 😍 amezing online shopping 🛍️ app,2026-08-29
play_store,nice product ♥️,2026-08-29
play_store,guys don't buy anything for this app. bad customer support. they don't give you attention and any solution. poor app,2026-08-29
play_store,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.”I was even asked to schedule a return, despite never receiving the product.Very pathetic service by myntra avoid this",2026-08-29
play_store,better experience,2026-08-29
play_store,Myntra always satisfies me 🤗if I talk about its fabric colour and all what is formed in images Thank you Myntra,2026-08-29
play_store,very good quality under cheap prices,2026-08-29
play_store,it's a best shopping app,2026-08-29
play_store,I swag I didn't see any app like this this app totally different i really like this and appriciate this,2026-08-29
play_store,"I ordered this product from Myntra, and they delivered a product that was already around two years old. Despite contacting customer support immediately, I was first assured that a return would be arranged. After 7–8 days of repeated follow-ups, I was suddenly told that customer support has no authority to arrange the return. The communication has been completely inconsistent and disappointing.",2026-08-29
play_store,Myntra world number 1 shoping app,2026-08-29
play_store,"My experience is very good and the product I got is also very good, this is an app that everyone should use and experience, thanks mayntra. And I am going to ask for many things.✌️",2026-08-29
play_store,very much user friendly,2026-08-29
play_store,thanks myntra team,2026-08-29
play_store,"Their delivery speed and timely updates are excellent as well as product handling, overall good customer service 👍.",2026-08-29
play_store,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.” I was even asked to schedule a return, despite never receiving the product. Never use there app.",2026-08-29
play_store,delivery is getting too much delayed during festive season. poor behaviour,2026-08-29
play_store,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.” I never recommended anyone to use there platform",2026-08-29
play_store,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.” I was even asked to schedule a return, despite never receiving the product. Never use their platform.",2026-08-29
play_store,for shopping myntra is good for that only I have given 2 stars but when it comes to customer support it is zero there is no proper response from they myntra customer support or bpo as while ordering it showed me the order will be delivered by 27 th aug 2026 and today date is 29 still the order is not delivered,2026-08-29
play_store,they canceled the order which was out for delivery the app is not trustworthy,2026-08-29
play_store,perfect shopping app,2026-08-29
play_store,Very good and reliable shopping platform,2026-08-29
play_store,it's valuable platform for clothes.,2026-08-29
play_store,improve the packaging,2026-08-29
play_store,worst app ever. no accountability. product reached nearby hub since a week still not delivered even on promised date. no human customer supports. all bots... shows delivery failed but no delivery person came or called me. I called them many times no response. so basically no support from Myntra at all... all sham and scam.... completely disappointed and would never recommend anyone,2026-08-29
play_store,always good experience of shoping on Myntra,2026-08-29
play_store,"Honestly, this is the best app to purchase fashion items in India rn.",2026-08-29
play_store,horrible experience...in name of express delivery not get my product even after 5-6 days.,2026-08-29
play_store,A useless app my order got delayed and they gave me a fake ai call which clearly can't understand clearly terrible experience at least ajio is better,2026-08-29
play_store,good app and better facilities but some expensive 😊,2026-08-29
play_store,amazing aap but prices of product is little bit high,2026-08-29
play_store,amazing product,2026-08-29
play_store,Amazing experience❤️,2026-08-29
play_store,"hangs, pictures added on reviews don't open, unable to add item in cart. button gets stuck. mostly it's buggy on pixel phone and not iphone",2026-08-29
play_store,I love Alcis sports Nice T shirt 👍,2026-08-29
play_store,Superb. its gd to shop from here. nice collection nice colour and reasonable prices. upto u wht u want.,2026-08-29
play_store,very nice experience using myntra,2026-08-29
play_store,"This service has really worst these days. Cancelling without consent, not delivering and keeping it for 2 months, no proper explanation no problem remedy from Myntra side. What I got is frustration not service",2026-08-29
play_store,good quality products.easy return and exchange available.,2026-08-29
play_store,good products.....,2026-08-29
play_store,i never face any issue while placing an order.,2026-08-29
play_store,woww very nice app🤗🥰,2026-08-29
play_store,very good app but i request you to give more discount and myncash and reduse delivery time and add grocery items,2026-08-29
play_store,worst app they not good service,2026-08-29
play_store,the best shopping app,2026-08-29
play_store,i Like myntra products🥰🥰6,2026-08-29
play_store,all time good 😊,2026-08-29
play_store,best shopping i have ever received,2026-08-29
play_store,very good application,2026-08-29
play_store,"This app is really amazing and easy to use. The interface is simple, smooth, and user-friendly. Everything works properly without any major issues. I really like the features and overall experience. The app is useful, fast, and reliable. Definitely worth trying and highly recommended!",2026-08-29
play_store,Great Experience,2026-08-29
play_store,Fast and good Product,2026-08-29
play_store,it was great experience with myntra once I ordered a dress which I got as expected Thank you for not breaking my trust.❤️❤️❤️❤️ so much love from me,2026-08-29
play_store,it's very good app,2026-08-29
play_store,fantastic love the app,2026-08-29
play_store,Best clothing app🔥,2026-08-29
play_store,"it is add free it is less expensive the products in this app are less expensive you can even buy costly items even in low price this app is so good you can rate the product and earn money cash which will be add to your wallet so that you can purchase it later discounting the money, it is simple easy to use, the dresses in this app are so gorgeous, I am so in love with Myntra, must download it",2026-08-29
play_store,good app for shopping but recently the AI generated models for clothing and makeup.it is ruining expirence as a customer,2026-08-29
play_store,tooo much good forvdress,2026-08-29
play_store,it delivery time is so late,2026-08-29
play_store,"worst shopping app ever. I have ordered 5 products, delivery got delayed and delayed and then when I cancelled it, they just put the label ""refunded"", I did not even receive my money back. customer care don't care for customers",2026-08-29
play_store,good product quality is 😊 good,2026-08-29
play_store,myntra very good and fast service I like it,2026-08-29
play_store,verry good 👍👍👍👍👍👍,2026-08-29
play_store,A good product helps to find this app,2026-08-29
play_store,I ordered a product the app cancelled the product. very bad experience.,2026-08-29
play_store,absolutely pathetic interface and a lousy support/help desk!,2026-08-29
play_store,best amazing 👏 🤩,2026-08-29
play_store,i am verey Happy as a customer your service is good to customers keep it and i hope you can make fast delivery to customers,2026-08-29
play_store,this is good aap,2026-08-29
play_store,i feel like the quality is good in myntra than other,2026-08-29
play_store,best place eone stop shopping,2026-08-29
play_store,a brilliant app,2026-08-29
play_store,don't buy anything from here they'll always manipulate you in prices but you compare to other site you'll found better price they'll will give coupon all time but it's not means price became less so don't be confused and don't try go at Ajio buy better product in good price.,2026-08-29
play_store,Customer service is non existent. Distraught after the useless experience. Myntra has now become the least trustworthy. No promise delivered & misleading customers.,2026-08-29
play_store,nice app for fashion,2026-08-28
play_store,awesome app for shopping,2026-08-28
play_store,product same as shown on app,2026-08-28
play_store,"best aap for Good choice for clothes and branded fashion, but always check product reviews, size chart, seller/product details, and return eligibility before ordering",2026-08-28
play_store,many items and different brands available. ossum collection,2026-08-28
play_store,very good quality product nice app,2026-08-28
play_store,myntra sells genuine products.,2026-08-28
play_store,best shopping app for clothing 😍,2026-08-28
play_store,very nice product for this online shopping app,2026-08-28
play_store,superb delivery.. very good quality.. all products on Myntra are reliable,2026-08-28
play_store,"The delivery experience is the worst, they will automatically cancel your order without inform you and this is not the one time scenario. Also customer care is pathetic... we are talking to the AI and never been able to resolve the issue.",2026-08-28
play_store,"""I really like the Myntra app! It is very easy to use. The delivery is always fast, and the clothes are good quality. Highly recommended!""",2026-08-28
play_store,very good quality same as adv photo,2026-08-28
play_store,it's clothes and products were great,2026-08-28
play_store,hassle free shipping and hassle free delivery. very nice,2026-08-28
play_store,"bahut achha app hai, achha discount milta hai or offer",2026-08-28
play_store,nice and easiest for every necessary fashion wear,2026-08-28
play_store,very good response,2026-08-28
play_store,"This app is very bad, it does not deliver on time and gives bad product.",2026-08-28
play_store,"vry slow delivery, no response for any complain.",2026-08-28
play_store,it's my favourite Shopping App its really good 👍👍👍 awesome 💯💯💯💯,2026-08-28
play_store,surprisingly...I had a great experience shopping..,2026-08-28
play_store,very nice app and quality products,2026-08-28
play_store,"The worst app ever. They charge a lot, but the materials are not delivered on time. Even after raising a complaint, the issue is not resolved.",2026-08-28
play_store,worrest delivery service,2026-08-28
play_store,Always good experience with myntra - good quality great styles 🫶🏻💙💚,2026-08-28
play_store,lovely product in all respects. fabric fitting and pattern very comfortable and stylish,2026-08-28
play_store,Very nice app 👍☺️,2026-08-28
play_store,good products but color fade problem,2026-08-28
play_store,"Trustworthy, Quality, Easy delivery, Genuine products, Everything is 10/10 in Myntra",2026-08-28
play_store,"I’m extremely disappointed with this experience. I received an email saying a delivery was attempted, despite never receiving a call or any communication from the delivery agent. I tried calling them multiple times using the provided PIN, but my calls were ignored. The Myntra callback was only automated with no way to reach support, and the chat keeps disconnecting. This has caused unnecessary stress, wasted my time, and disrupted my plans.I expect a clear explanation and an immediate resolution",2026-08-28
play_store,worst shopping app didn't get orders shipped already 3 days before didn't get orders till now,2026-08-28
play_store,very bad customer service. No proper response from them after sales.,2026-08-28
play_store,usuallt good experience except few instances.,2026-08-28
play_store,worst experience ever and no support,2026-08-28
play_store,my first experience is very good from myntra I am satisfied,2026-08-28
play_store,"Heyy..!! I'm syeda madiha I had ordered a dress from Myntra but it has not come for pickup yet and they are extending the date for 15 days. I messaged the customer care but there is no response from them, not even a call.",2026-08-28
play_store,good app for online purchase,2026-08-28
play_store,amazing experience quality of product are also good,2026-08-28
play_store,"very bad experience with product delivery and customer care service.I have been facing exchange related issue from since a month but no one responded from customer care service.they have delivered me a product of different colour and delayed pickup and return ,now they have closed the return window despite of several mail and calls no one responded.",2026-08-28
play_store,genuine products,2026-08-28
play_store,great experience products worth every penny,2026-08-28
play_store,it's a classical wall clock. Received timely in good condition. I love the design and colour.,2026-08-28
play_store,amazing experience with myntra,2026-08-28
